mnemonic,No passport,United Kingdom,Republic of Ireland,Other Europe: EU countries,Other Europe: Non EU countries,Africa,Middle East and Asia,North America and the Caribbean,Central America,South America,Antarctica and Oceania,British Overseas Territories
E12000001,21.3,76.0,0.2,1.0,0.1,0.3,1.1,0.2,0.0,0.0,0.1,0.0
E12000002,17.9,77.9,0.6,1.8,0.1,0.5,1.4,0.2,0.0,0.0,0.1,0.0
E12000003,19.4,76.1,0.3,2.0,0.1,0.5,1.6,0.3,0.0,0.0,0.1,0.0
E12000004,20.3,74.4,0.4,2.8,0.1,0.6,1.4,0.3,0.0,0.0,0.1,0.0
E12000005,20.5,73.9,0.6,2.3,0.1,0.6,2.0,0.3,0.0,0.0,0.1,0.0
E12000006,16.7,76.6,0.7,3.3,0.2,0.8,1.4,0.8,0.0,0.1,0.3,0.0
E12000007,7.8,71.2,1.9,9.6,0.9,2.9,5.2,1.7,0.0,0.6,1.2,0.0
E12000008,14.1,79.0,0.7,3.3,0.3,0.9,1.8,0.6,0.0,0.1,0.4,0.0
E12000009,19.4,76.4,0.4,2.2,0.2,0.4,0.9,0.4,0.0,0.1,0.3,0.0
W92000004,22.4,74.5,0.3,1.4,0.1,0.3,1.0,0.2,0.0,0.0,0.1,0.0
E06000005,21.7,75.7,0.2,1.5,0.1,0.2,0.7,0.2,0.0,0.0,0.1,0.0
E06000047,23.4,74.8,0.2,0.8,0.1,0.2,0.5,0.2,0.0,0.0,0.1,0.0
E06000001,25.6,73.2,0.1,0.5,0.0,0.1,0.4,0.1,0.0,0.0,0.1,0.0
E06000002,22.6,73.2,0.3,1.4,0.1,0.8,2.0,0.1,0.0,0.0,0.1,0.0
E06000057,20.5,78.3,0.2,0.6,0.1,0.1,0.3,0.2,0.0,0.0,0.1,0.0
E06000003,23.8,75.4,0.2,0.4,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.0
E06000004,20.5,77.6,0.2,0.6,0.1,0.3,0.9,0.1,0.0,0.0,0.1,0.0
E08000037,20.6,76.7,0.2,1.4,0.1,0.3,0.8,0.2,0.0,0.0,0.1,0.0
E08000021,17.4,74.1,0.6,2.3,0.2,1.2,4.5,0.3,0.0,0.1,0.2,0.0
E08000022,17.8,80.3,0.2,0.8,0.1,0.2,0.6,0.2,0.0,0.0,0.1,0.0
E08000023,22.0,76.6,0.1,0.5,0.1,0.1,0.7,0.1,0.0,0.0,0.1,0.0
E08000024,22.2,75.5,0.2,0.7,0.1,0.3,1.1,0.1,0.0,0.0,0.0,0.0
E06000008,18.2,76.9,0.3,1.9,0.1,0.3,2.8,0.1,0.0,0.0,0.0,0.0
E06000009,24.4,72.6,0.5,1.8,0.1,0.2,0.6,0.1,0.0,0.0,0.1,0.0
E06000049,16.7,80.2,0.4,1.9,0.1,0.2,0.6,0.3,0.0,0.0,0.2,0.0
E06000050,17.4,80.0,0.5,1.5,0.1,0.2,0.5,0.2,0.0,0.0,0.2,0.0
E06000006,21.0,77.7,0.3,0.6,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0
E06000007,15.5,81.2,0.4,1.8,0.1,0.2,0.8,0.2,0.0,0.0,0.2,0.0
E07000026,23.7,74.9,0.2,0.8,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.0
E07000027,23.3,75.4,0.1,0.6,0.1,0.1,0.4,0.1,0.0,0.0,0.1,0.0
E07000028,22.1,75.0,0.3,1.9,0.1,0.2,0.5,0.2,0.0,0.0,0.1,0.0
E07000029,23.8,74.8,0.2,0.6,0.1,0.1,0.5,0.2,0.0,0.0,0.1,0.0
E07000030,21.1,77.0,0.2,1.2,0.0,0.1,0.3,0.2,0.0,0.0,0.2,0.0
E07000031,17.4,79.8,0.2,1.7,0.1,0.2,0.4,0.4,0.0,0.0,0.3,0.0
E08000001,17.5,77.9,0.4,1.8,0.1,0.6,1.9,0.1,0.0,0.0,0.1,0.0
E08000002,15.8,80.0,0.9,1.9,0.1,0.4,1.4,0.2,0.0,0.0,0.1,0.0
E08000003,15.4,69.3,1.6,5.1,0.3,2.5,6.0,0.7,0.1,0.1,0.2,0.0
E08000004,16.1,79.8,0.4,1.2,0.0,0.3,2.5,0.1,0.0,0.0,0.1,0.0
E08000005,17.9,77.7,0.6,1.8,0.1,0.4,1.9,0.1,0.0,0.0,0.1,0.0
E08000006,18.7,73.5,0.8,3.8,0.2,1.2,1.9,0.3,0.0,0.1,0.1,0.0
E08000007,14.5,82.5,0.9,1.1,0.1,0.3,0.9,0.2,0.0,0.0,0.2,0.0
E08000008,18.6,78.2,0.5,1.6,0.1,0.3,0.9,0.1,0.0,0.0,0.1,0.0
E08000009,12.4,82.1,1.5,2.1,0.1,0.5,1.6,0.4,0.0,0.1,0.3,0.0
E08000010,19.8,78.3,0.3,1.0,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.0
E07000117,20.6,76.6,0.4,1.1,0.1,0.1,1.5,0.1,0.0,0.0,0.1,0.0
E07000118,18.5,79.9,0.3,0.9,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0
E07000119,16.0,81.7,0.4,1.3,0.1,0.1,0.4,0.3,0.0,0.0,0.2,0.0
E07000120,21.0,76.0,0.3,1.4,0.0,0.1,1.4,0.1,0.0,0.0,0.1,0.0
E07000121,19.5,75.7,0.4,2.5,0.2,0.4,1.3,0.3,0.0,0.0,0.2,0.0
E07000122,18.8,77.3,0.3,2.0,0.1,0.1,2.3,0.1,0.0,0.0,0.1,0.0
E07000123,18.1,75.3,0.6,2.9,0.1,0.4,2.9,0.2,0.0,0.0,0.1,0.0
E07000124,14.0,84.1,0.4,1.0,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.0
E07000125,19.2,79.0,0.5,0.7,0.1,0.1,0.7,0.1,0.0,0.0,0.1,0.0
E07000126,17.0,81.3,0.4,0.9,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E07000127,17.9,79.8,0.4,1.6,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E07000128,18.9,79.5,0.3,0.7,0.1,0.1,0.6,0.1,0.0,0.0,0.1,0.0
E08000011,19.5,79.4,0.3,0.4,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.0
E08000012,17.4,76.3,1.0,2.2,0.1,0.9,2.2,0.3,0.0,0.1,0.1,0.0
E08000014,16.7,81.1,0.5,1.3,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0
E08000013,21.2,77.5,0.3,0.7,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E08000015,18.3,79.9,0.5,0.8,0.1,0.2,0.4,0.2,0.0,0.0,0.1,0.0
E06000011,19.2,78.8,0.2,1.2,0.1,0.1,0.4,0.2,0.0,0.0,0.2,0.0
E06000010,26.9,67.3,0.1,3.7,0.2,0.6,1.3,0.1,0.0,0.0,0.1,0.0
E06000012,26.1,71.6,0.2,1.4,0.1,0.2,0.5,0.1,0.0,0.0,0.1,0.0
E06000013,25.6,70.4,0.3,2.9,0.1,0.2,0.7,0.1,0.0,0.0,0.1,0.0
E06000014,15.6,78.5,0.4,2.5,0.3,0.4,2.1,0.6,0.0,0.1,0.3,0.0
E07000163,17.1,80.8,0.3,1.2,0.0,0.1,0.5,0.3,0.0,0.0,0.3,0.0
E07000164,17.9,80.2,0.2,1.1,0.1,0.2,0.3,0.3,0.0,0.0,0.3,0.0
E07000165,14.4,79.9,0.3,2.3,0.2,0.4,0.8,2.2,0.0,0.0,0.4,0.0
E07000166,18.0,77.8,0.3,1.0,0.1,0.6,1.7,0.4,0.0,0.0,0.7,0.0
E07000167,23.4,74.4,0.4,1.3,0.1,0.2,0.3,0.3,0.0,0.0,0.3,0.0
E07000168,23.9,73.4,0.2,1.5,0.1,0.2,0.7,0.2,0.0,0.0,0.2,0.0
E07000169,17.4,80.1,0.3,1.6,0.1,0.2,0.2,0.2,0.0,0.0,0.2,0.0
E08000016,23.4,74.8,0.2,1.1,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.0
E08000017,23.2,73.3,0.3,2.3,0.1,0.2,0.6,0.1,0.0,0.0,0.1,0.0
E08000018,22.6,75.0,0.2,1.3,0.1,0.3,0.7,0.1,0.0,0.0,0.0,0.0
E08000019,18.8,75.0,0.3,2.0,0.2,1.0,3.0,0.3,0.0,0.1,0.1,0.0
E08000032,16.3,76.6,0.3,2.8,0.1,0.7,3.9,0.2,0.0,0.0,0.1,0.0
E08000033,17.5,79.3,0.5,1.5,0.1,0.1,1.2,0.1,0.0,0.0,0.1,0.0
E08000034,16.2,79.8,0.4,1.4,0.1,0.4,2.1,0.2,0.0,0.0,0.1,0.0
E08000035,16.3,77.5,0.6,2.5,0.1,1.0,2.2,0.3,0.0,0.1,0.2,0.0
E08000036,21.2,75.7,0.2,2.0,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.0
E06000015,20.6,72.2,0.6,3.4,0.1,0.7,2.5,0.3,0.0,0.0,0.1,0.0
E06000016,16.1,68.7,0.5,6.3,0.3,1.8,6.6,0.4,0.0,0.1,0.1,0.0
E06000018,20.4,67.7,0.6,4.7,0.2,2.0,4.4,0.7,0.0,0.1,0.2,0.0
E06000017,15.6,81.5,0.4,1.2,0.2,0.4,0.4,0.7,0.0,0.1,0.5,0.0
E07000032,23.8,74.7,0.2,0.9,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.0
E07000033,27.4,70.9,0.2,1.1,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0
E07000034,25.4,72.5,0.3,1.0,0.1,0.3,0.5,0.1,0.0,0.0,0.1,0.0
E07000035,18.7,79.7,0.3,0.8,0.1,0.1,0.2,0.3,0.0,0.0,0.3,0.0
E07000036,22.2,76.0,0.4,0.9,0.1,0.1,0.3,0.2,0.0,0.0,0.1,0.0
E07000037,18.3,79.9,0.4,0.9,0.1,0.1,0.3,0.2,0.0,0.0,0.2,0.0
E07000038,21.8,77.2,0.2,0.5,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0
E07000039,20.1,78.1,0.3,0.8,0.1,0.2,0.4,0.2,0.0,0.0,0.1,0.0
E07000129,15.0,82.5,0.3,1.2,0.1,0.3,0.7,0.2,0.0,0.0,0.1,0.0
E07000130,15.9,79.3,0.4,1.9,0.1,0.5,2.0,0.3,0.0,0.0,0.2,0.0
E07000131,14.1,83.5,0.4,1.1,0.1,0.3,0.5,0.3,0.0,0.0,0.3,0.0
E07000132,18.0,80.1,0.3,0.8,0.1,0.2,0.5,0.2,0.0,0.0,0.2,0.0
E07000133,19.7,77.8,0.3,1.7,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.0
E07000134,21.4,76.4,0.3,1.3,0.1,0.1,0.4,0.1,0.0,0.0,0.1,0.0
E07000135,14.8,81.0,0.5,1.2,0.1,0.6,2.1,0.3,0.0,0.0,0.1,0.0
E07000136,27.2,59.5,0.2,12.1,0.1,0.3,0.7,0.1,0.0,0.1,0.1,0.0
E07000137,28.8,69.5,0.2,1.1,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.0
E07000138,25.6,67.9,0.5,4.7,0.1,0.4,0.9,0.3,0.0,0.0,0.1,0.0
E07000139,20.4,77.6,0.3,1.2,0.1,0.2,0.2,0.3,0.0,0.0,0.2,0.0
E07000140,25.9,66.6,0.2,6.8,0.1,0.2,0.3,0.1,0.0,0.1,0.1,0.0
E07000141,20.4,75.9,0.3,2.6,0.1,0.3,0.5,0.3,0.0,0.1,0.2,0.0
E07000142,23.8,74.6,0.3,0.8,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0
E07000150,21.0,68.8,0.9,7.8,0.3,0.8,0.4,0.3,0.0,0.0,0.1,0.0
E07000151,16.6,80.1,0.5,2.0,0.1,0.3,0.4,0.3,0.0,0.0,0.2,0.0
E07000152,20.0,76.6,0.5,1.5,0.1,0.4,0.4,1.0,0.0,0.0,0.2,0.0
E07000153,20.7,74.0,0.5,3.2,0.1,0.6,0.9,0.4,0.0,0.0,0.2,0.0
E07000154,17.9,71.8,1.0,6.0,0.2,1.5,1.8,0.4,0.0,0.1,0.1,0.0
E07000155,13.9,83.4,0.6,1.1,0.1,0.3,0.3,0.8,0.0,0.0,0.4,0.0
E07000156,21.2,72.1,0.6,4.4,0.1,0.7,0.8,0.4,0.0,0.0,0.1,0.0
E07000170,26.7,71.6,0.1,1.0,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.0
E07000171,23.3,73.9,0.2,1.9,0.1,0.2,0.4,0.1,0.0,0.0,0.1,0.0
E07000172,17.9,77.7,0.4,1.9,0.2,0.4,1.6,0.3,0.0,0.0,0.2,0.0
E07000173,17.2,80.3,0.5,1.3,0.1,0.3,0.5,0.2,0.0,0.0,0.1,0.0
E07000174,25.6,70.9,0.3,2.8,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E07000175,21.8,75.3,0.4,2.0,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.0
E07000176,12.4,84.6,0.5,1.3,0.1,0.2,0.9,0.4,0.0,0.0,0.3,0.0
E06000019,22.6,73.2,0.3,3.2,0.1,0.2,0.4,0.3,0.0,0.0,0.3,0.0
E06000051,22.1,75.4,0.3,1.4,0.1,0.2,0.5,0.3,0.0,0.0,0.2,0.0
E06000021,27.3,68.4,0.2,1.7,0.1,0.5,1.8,0.1,0.0,0.0,0.1,0.0
E06000020,25.4,70.7,0.3,2.3,0.1,0.4,0.9,0.2,0.0,0.0,0.1,0.0
E07000192,24.1,74.7,0.2,0.6,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E07000193,21.6,73.5,0.3,3.2,0.1,0.2,1.2,0.2,0.0,0.0,0.1,0.0
E07000194,18.0,80.1,0.4,1.0,0.0,0.1,0.3,0.2,0.0,0.0,0.1,0.0
E07000195,22.5,74.8,0.2,1.0,0.2,0.3,1.1,0.2,0.0,0.0,0.1,0.0
E07000196,18.2,80.6,0.3,0.4,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E07000197,19.6,77.1,0.4,1.2,0.1,0.4,1.3,0.2,0.0,0.0,0.2,0.0
E07000198,22.3,76.6,0.2,0.6,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.0
E07000199,22.2,75.6,0.4,1.3,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0
E07000218,20.4,78.1,0.4,0.8,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0
E07000219,22.1,74.5,0.3,1.5,0.1,0.3,1.2,0.1,0.0,0.0,0.1,0.0
E07000220,17.4,75.4,0.7,4.5,0.2,0.7,1.1,0.3,0.1,0.1,0.2,0.0
E07000221,16.1,80.5,0.6,2.0,0.1,0.2,0.5,0.5,0.0,0.0,0.4,0.0
E07000222,14.0,79.1,1.1,3.2,0.3,0.5,1.9,0.6,0.0,0.1,0.4,0.0
E08000025,16.9,73.3,1.3,3.1,0.2,1.0,4.2,0.7,0.0,0.1,0.1,0.0
E08000026,16.8,70.4,1.6,4.8,0.2,1.9,4.4,0.3,0.0,0.0,0.1,0.0
E08000027,23.8,74.2,0.2,0.7,0.1,0.2,0.9,0.1,0.0,0.0,0.0,0.0
E08000028,24.3,67.9,0.4,3.2,0.1,0.7,3.4,0.5,0.0,0.0,0.0,0.0
E08000029,14.6,82.1,1.2,0.9,0.1,0.4,1.0,0.3,0.0,0.0,0.2,0.0
E08000030,24.8,71.3,0.3,1.3,0.0,0.4,2.0,0.2,0.0,0.0,0.0,0.0
E08000031,24.5,67.7,0.4,2.8,0.1,0.9,3.5,0.5,0.0,0.0,0.1,0.0
E07000234,15.9,82.3,0.6,0.6,0.2,0.2,0.5,0.2,0.0,0.0,0.1,0.0
E07000235,20.4,77.1,0.3,1.1,0.1,0.2,0.7,0.3,0.0,0.0,0.3,0.0
E07000236,20.3,74.8,0.4,3.4,0.0,0.2,0.9,0.2,0.0,0.0,0.1,0.0
E07000237,21.0,74.2,0.4,3.1,0.1,0.3,1.0,0.2,0.0,0.1,0.2,0.0
E07000238,18.8,77.8,0.3,2.5,0.1,0.2,0.4,0.3,0.0,0.0,0.2,0.0
E07000239,23.7,74.4,0.3,1.2,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.0
E06000055,15.1,73.9,0.7,7.0,0.2,1.0,2.2,0.6,0.0,0.1,0.2,0.0
E06000056,14.9,80.5,1.0,2.1,0.1,0.7,0.8,0.4,0.0,0.0,0.3,0.0
E06000032,12.4,69.8,2.5,7.2,0.2,2.4,6.1,0.6,0.0,0.1,0.1,0.0
E06000031,19.3,67.0,0.5,10.2,0.2,0.9,2.1,0.5,0.0,0.1,0.1,0.0
E06000033,16.8,77.7,0.7,2.7,0.2,1.0,1.1,0.3,0.0,0.1,0.3,0.0
E06000034,15.6,76.9,0.6,3.6,0.2,2.7,1.0,0.3,0.0,0.1,0.1,0.0
E07000008,11.0,67.1,1.3,10.9,1.1,1.2,6.1,2.9,0.1,0.4,1.4,0.0
E07000009,18.0,75.1,0.5,3.2,0.2,0.5,0.7,2.4,0.0,0.1,0.4,0.0
E07000010,26.5,67.1,0.3,5.4,0.1,0.2,0.4,0.3,0.0,0.0,0.1,0.0
E07000011,16.0,78.0,0.5,2.9,0.2,0.5,0.7,1.8,0.0,0.0,0.3,0.0
E07000012,12.9,80.3,0.6,3.4,0.3,0.7,1.7,1.1,0.0,0.1,0.6,0.0
E07000066,16.2,79.9,0.6,1.3,0.2,1.0,1.1,0.3,0.0,0.1,0.2,0.0
E07000067,17.5,79.1,0.6,1.9,0.1,0.3,0.5,0.3,0.0,0.0,0.2,0.0
E07000068,9.6,85.9,1.0,1.7,0.2,0.8,1.0,0.6,0.0,0.1,0.4,0.0
E07000069,14.1,84.5,0.4,0.5,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.0
E07000070,12.5,83.3,0.7,1.7,0.2,0.7,1.0,0.3,0.0,0.1,0.3,0.0
E07000071,16.1,77.0,0.5,3.0,0.3,0.9,2.2,0.5,0.0,0.1,0.3,0.0
E07000072,10.7,84.6,0.9,2.3,0.3,0.8,0.9,0.4,0.0,0.1,0.3,0.0
E07000073,17.5,75.1,0.8,3.5,0.2,1.7,1.5,0.3,0.0,0.1,0.2,0.0
E07000074,15.1,83.1,0.5,0.7,0.1,0.2,0.3,0.3,0.0,0.0,0.3,0.0
E07000075,13.2,85.3,0.4,0.5,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.0
E07000076,23.4,74.6,0.5,0.9,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0
E07000077,11.3,84.6,0.7,2.3,0.2,0.3,0.6,0.6,0.0,0.1,0.5,0.0
E07000095,11.3,81.2,1.1,5.0,0.5,1.1,0.5,0.3,0.0,0.0,0.2,0.0
