mnemonic,No passport,United Kingdom,Republic of Ireland,Other Europe: EU countries,Other Europe: Non EU countries,Africa,Middle East and Asia,North America and the Caribbean,Central America,South America,Antarctica and Oceania,British Overseas Territories
E07000096,13.3,81.1,1.1,2.3,0.2,1.0,1.3,0.5,0.0,0.1,0.4,0.0
E07000242,10.7,84.4,0.9,2.8,0.2,0.5,0.6,0.5,0.0,0.1,0.5,0.0
E07000098,9.3,81.2,1.7,4.4,0.4,2.0,2.1,0.6,0.0,0.1,0.3,0.0
E07000099,14.1,80.7,0.8,2.4,0.2,0.6,1.3,0.6,0.0,0.1,0.4,0.0
E07000240,8.4,84.3,1.5,3.5,0.3,1.1,1.3,0.9,0.0,0.1,0.9,0.0
E07000243,16.9,76.8,0.9,2.6,0.2,1.4,1.7,0.4,0.0,0.1,0.1,0.0
E07000102,10.2,83.1,1.5,3.0,0.3,0.9,1.3,0.7,0.0,0.1,0.5,0.0
E07000103,10.1,74.7,1.8,6.7,0.4,2.5,4.4,0.6,0.0,0.2,0.4,0.0
E07000241,12.0,76.5,1.2,4.3,0.3,2.4,3.9,0.5,0.0,0.1,0.4,0.0
E07000143,25.0,68.9,0.3,4.2,0.1,0.2,0.3,1.2,0.0,0.1,0.2,0.0
E07000144,18.9,79.3,0.2,0.9,0.1,0.3,0.4,0.3,0.0,0.0,0.2,0.0
E07000145,28.9,66.8,0.3,3.1,0.1,0.3,0.5,0.2,0.0,0.0,0.1,0.0
E07000146,25.5,69.1,0.3,3.4,0.1,0.2,0.5,1.2,0.0,0.1,0.1,0.0
E07000147,27.4,70.6,0.3,1.1,0.1,0.1,0.3,0.3,0.0,0.0,0.2,0.0
E07000148,23.5,67.6,0.5,4.2,0.3,0.9,2.8,0.6,0.0,0.1,0.3,0.0
E07000149,20.8,76.9,0.3,1.2,0.1,0.3,0.4,0.4,0.0,0.0,0.3,0.0
E07000200,18.8,78.9,0.4,1.2,0.1,0.2,0.3,0.4,0.0,0.0,0.3,0.0
E07000201,17.4,62.8,0.7,4.1,0.2,0.4,1.0,14.3,0.0,0.1,0.2,0.0
E07000202,23.7,68.9,0.3,4.7,0.2,0.5,1.6,0.5,0.0,0.1,0.2,0.0
E07000203,20.4,77.6,0.3,1.0,0.1,0.3,0.3,0.6,0.0,0.0,0.3,0.0
E07000204,19.1,75.5,0.5,2.7,0.2,0.4,0.7,1.4,0.0,0.1,0.3,0.0
E07000205,18.6,78.6,0.3,1.3,0.1,0.3,0.6,0.6,0.0,0.0,0.3,0.0
E07000206,27.1,70.9,0.3,1.1,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.0
E09000007,4.8,68.8,2.8,11.5,1.4,1.7,6.2,4.6,0.1,0.8,2.9,0.0
E09000001,3.2,72.5,2.3,11.4,1.6,1.2,4.9,4.4,0.1,0.9,3.7,0.0
E09000012,6.8,72.1,1.9,9.8,2.0,3.7,2.3,2.8,0.1,0.9,1.6,0.0
E09000013,5.5,66.9,3.2,13.9,1.2,1.9,4.1,3.0,0.1,1.0,4.4,0.0
E09000014,6.2,68.5,2.3,14.9,2.0,2.9,2.6,2.2,0.1,1.0,1.2,0.0
E09000019,7.1,71.7,3.3,9.7,1.5,1.6,3.0,2.8,0.1,0.9,2.5,0.0
E09000020,3.2,60.5,2.3,19.9,2.4,1.7,6.0,7.3,0.2,1.1,2.7,0.0
E09000022,7.1,68.7,2.3,13.0,0.6,3.6,1.9,2.6,0.1,1.5,2.3,0.0
E09000023,10.2,70.1,1.6,8.7,0.8,4.9,2.8,2.3,0.0,0.6,0.9,0.0
E09000025,7.2,59.9,0.6,12.7,0.5,4.6,14.6,0.8,0.0,0.6,0.3,0.0
E09000028,8.0,68.0,2.0,9.7,0.8,6.4,3.3,2.2,0.1,1.5,1.6,0.0
E09000030,6.6,69.5,1.3,9.6,1.1,1.6,8.7,1.6,0.1,0.6,1.9,0.0
E09000032,6.2,71.7,2.4,10.9,0.9,2.8,3.1,2.2,0.1,0.8,3.5,0.0
E09000033,3.6,61.8,2.0,16.7,2.2,2.2,7.5,5.4,0.2,1.1,3.2,0.0
E09000002,16.0,65.1,0.8,8.1,0.4,6.1,4.6,0.5,0.0,0.2,0.1,0.0
E09000003,5.6,73.2,2.1,10.6,1.0,2.7,6.8,1.3,0.0,0.5,0.6,0.0
E09000004,12.3,80.6,0.8,2.5,0.3,3.1,1.2,0.4,0.0,0.1,0.2,0.0
E09000005,5.1,65.0,3.4,14.0,0.5,2.3,9.2,1.4,0.0,0.9,0.9,0.0
E09000006,9.6,82.9,1.2,3.3,0.4,1.6,1.4,0.7,0.0,0.2,0.5,0.0
E09000008,10.4,75.1,1.2,5.7,0.4,3.4,3.9,1.4,0.0,0.3,0.3,0.0
E09000009,6.2,66.6,2.6,13.3,0.7,1.8,9.0,1.2,0.0,0.4,1.2,0.0
E09000010,8.6,75.5,1.7,8.0,1.9,3.4,2.0,0.9,0.0,0.3,0.2,0.0
E09000011,12.1,67.9,1.4,7.3,0.7,6.3,4.6,1.1,0.0,0.3,0.7,0.0
E09000015,5.3,74.6,2.6,8.5,0.5,1.8,7.5,0.7,0.0,0.2,0.3,0.0
E09000016,12.3,82.1,1.0,2.3,0.2,1.4,1.1,0.3,0.0,0.1,0.2,0.0
E09000017,9.5,74.7,1.8,6.0,0.5,1.7,6.3,0.7,0.0,0.2,0.3,0.0
E09000018,8.2,67.1,1.7,10.3,0.6,2.0,10.5,0.9,0.0,0.3,0.9,0.0
E09000021,7.5,76.1,1.5,7.7,0.8,1.8,5.4,1.0,0.0,0.4,0.9,0.0
E09000024,7.8,69.7,2.0,10.8,0.9,4.4,5.2,1.4,0.0,0.6,1.4,0.0
E09000026,6.5,75.9,1.2,6.1,0.5,2.0,8.7,0.7,0.0,0.2,0.3,0.0
E09000027,5.9,79.3,2.4,7.3,0.8,1.4,2.2,2.3,0.1,0.4,2.3,0.0
E09000029,10.0,79.3,1.4,4.7,0.5,2.0,3.0,0.5,0.0,0.3,0.4,0.0
E09000031,8.7,68.5,1.3,12.7,1.0,3.3,5.0,1.2,0.0,0.4,0.4,0.0
E06000036,11.9,80.3,0.7,3.4,0.4,1.5,2.2,0.7,0.0,0.1,0.4,0.0
E06000043,10.7,79.4,1.2,5.3,0.5,0.9,2.1,0.9,0.0,0.2,0.7,0.0
E06000046,24.5,73.0,0.4,1.3,0.1,0.2,0.5,0.3,0.0,0.0,0.2,0.0
E06000035,18.1,76.2,0.6,2.7,0.2,1.0,1.4,0.2,0.0,0.1,0.2,0.0
E06000042,14.7,74.2,0.8,5.4,0.3,2.5,2.5,0.5,0.0,0.1,0.3,0.0
E06000044,16.9,76.3,0.4,3.1,0.2,1.0,2.1,0.4,0.0,0.1,0.3,0.0
E06000038,14.2,68.5,1.2,6.6,0.4,2.6,6.6,0.8,0.0,0.2,0.5,0.0
E06000039,9.9,68.0,1.0,10.5,0.3,2.5,9.0,0.4,0.0,0.1,0.1,0.0
E06000045,17.4,70.8,0.5,6.5,0.3,1.1,3.6,0.4,0.0,0.1,0.2,0.0
E06000037,14.9,80.2,0.7,2.3,0.2,0.7,1.0,0.6,0.0,0.1,0.5,0.0
E06000040,8.8,81.2,1.3,4.8,0.5,1.1,2.1,1.4,0.0,0.2,0.9,0.0
E06000041,9.1,84.9,0.8,2.4,0.3,1.0,2.0,0.6,0.0,0.1,0.5,0.0
E07000004,13.6,80.9,0.7,2.5,0.2,0.9,1.3,0.6,0.0,0.1,0.4,0.0
E07000005,9.5,85.2,1.1,2.6,0.3,0.6,1.0,0.9,0.0,0.1,0.7,0.0
E07000006,8.2,84.2,1.5,3.1,0.3,0.7,1.7,1.4,0.0,0.1,0.7,0.0
E07000007,10.8,82.0,0.8,3.2,0.2,0.9,2.2,0.8,0.0,0.1,0.5,0.0
E07000061,17.1,75.9,0.8,4.4,0.3,0.6,1.2,0.4,0.0,0.1,0.3,0.0
E07000062,23.4,71.9,0.6,2.4,0.2,0.6,1.0,0.4,0.0,0.1,0.3,0.0
E07000063,14.2,82.1,0.6,1.9,0.2,0.3,0.6,0.6,0.0,0.1,0.4,0.0
E07000064,17.5,79.8,0.5,1.2,0.2,0.3,0.5,0.6,0.0,0.0,0.3,0.0
E07000065,14.3,82.6,0.5,1.7,0.2,0.3,0.5,0.5,0.0,0.0,0.5,0.0
E07000084,14.7,79.0,0.6,2.8,0.2,0.9,2.0,0.4,0.0,0.1,0.4,0.0
E07000085,13.7,82.5,0.5,1.8,0.2,0.5,0.9,0.6,0.0,0.1,0.5,0.0
E07000086,14.1,82.4,0.4,1.6,0.1,0.5,1.0,0.3,0.0,0.1,0.2,0.0
E07000087,13.6,84.3,0.3,0.9,0.1,0.3,0.5,0.3,0.0,0.0,0.2,0.0
E07000088,21.4,76.2,0.2,1.1,0.1,0.3,0.5,0.3,0.0,0.0,0.2,0.0
E07000089,9.3,86.2,0.6,2.1,0.2,0.8,1.0,0.6,0.0,0.1,0.5,0.0
E07000090,20.1,78.0,0.3,0.9,0.1,0.3,0.4,0.2,0.0,0.0,0.2,0.0
E07000091,16.0,81.5,0.4,1.3,0.1,0.3,0.4,0.3,0.0,0.0,0.4,0.0
E07000092,14.1,75.2,0.6,2.6,0.2,1.2,6.2,0.5,0.0,0.1,0.3,0.0
E07000093,14.9,81.4,0.4,2.0,0.2,0.4,0.8,0.4,0.0,0.1,0.4,0.0
E07000094,12.8,83.1,0.5,1.9,0.2,0.5,1.0,0.8,0.0,0.0,0.6,0.0
E07000105,16.4,78.3,0.5,2.3,0.1,0.6,1.9,0.3,0.0,0.0,0.3,0.0
E07000106,15.0,78.1,0.7,3.2,0.4,0.7,1.9,0.6,0.0,0.1,0.4,0.0
E07000107,14.1,79.3,0.6,3.2,0.2,1.6,1.3,0.3,0.0,0.1,0.2,0.0
E07000108,18.3,77.7,0.4,2.2,0.1,0.2,1.1,0.5,0.0,0.0,0.3,0.0
E07000109,15.9,75.6,0.6,4.5,0.2,1.1,2.2,0.2,0.0,0.1,0.3,0.0
E07000110,15.1,79.4,0.5,2.9,0.2,0.6,1.5,0.4,0.0,0.1,0.3,0.0
E07000111,11.6,84.2,0.7,2.1,0.2,0.7,0.6,0.8,0.0,0.1,0.7,0.0
E07000112,17.4,77.4,0.5,2.1,0.2,0.3,2.2,0.3,0.0,0.0,0.3,0.0
E07000113,21.1,75.7,0.4,2.0,0.1,0.4,0.3,0.3,0.0,0.0,0.2,0.0
E07000114,20.9,74.1,0.5,3.1,0.3,0.4,0.8,0.3,0.0,0.0,0.2,0.0
E07000115,14.1,82.4,0.5,1.6,0.2,0.5,0.8,0.4,0.0,0.1,0.4,0.0
E07000116,13.2,81.4,0.7,3.0,0.3,0.6,1.1,0.6,0.0,0.1,0.6,0.0
E07000177,16.7,76.4,0.6,3.5,0.2,0.7,1.3,1.2,0.0,0.1,0.4,0.0
E07000178,11.3,69.1,1.4,8.8,1.1,1.7,5.3,2.9,0.1,0.5,1.2,0.0
E07000179,13.6,81.3,0.7,2.9,0.2,0.5,0.8,0.8,0.0,0.1,0.7,0.0
E07000180,15.0,79.4,0.7,2.9,0.3,0.7,1.1,0.9,0.0,0.1,0.5,0.0
E07000181,16.1,79.8,0.5,2.1,0.2,0.5,0.6,0.8,0.0,0.1,0.5,0.0
E07000207,7.3,81.7,1.5,4.9,0.6,1.6,1.8,2.4,0.1,0.3,1.2,0.0
E07000208,7.8,83.6,1.3,4.1,0.3,1.5,2.3,0.6,0.0,0.2,0.5,0.0
E07000209,10.2,80.3,0.7,4.4,0.5,1.3,2.9,0.9,0.0,0.2,0.7,0.0
E07000210,9.7,85.2,0.8,2.3,0.3,0.8,1.1,0.7,0.0,0.1,0.7,0.0
E07000211,10.0,83.3,1.0,3.1,0.3,1.1,1.6,0.6,0.0,0.1,0.5,0.0
E07000212,10.5,78.1,1.2,4.9,0.6,1.3,3.2,1.6,0.1,0.2,0.6,0.0
E07000213,11.0,80.9,1.2,3.6,0.3,1.2,2.3,0.5,0.0,0.2,0.4,0.0
E07000214,9.0,84.5,0.9,2.6,0.2,1.0,2.1,0.7,0.0,0.1,0.6,0.0
E07000215,10.3,85.4,0.9,1.9,0.2,0.7,0.8,0.6,0.0,0.1,0.5,0.0
E07000216,10.8,84.0,0.8,2.6,0.4,0.6,0.9,0.9,0.0,0.1,0.9,0.0
E07000217,9.3,78.9,1.0,5.5,0.5,1.8,3.8,0.9,0.0,0.2,0.7,0.0
E07000223,16.0,81.1,0.5,1.5,0.2,0.4,0.6,0.2,0.0,0.1,0.2,0.0
E07000224,17.0,77.7,0.4,3.8,0.1,0.3,0.6,0.3,0.0,0.1,0.2,0.0
E07000225,15.2,80.8,0.5,2.1,0.2,0.4,0.7,0.6,0.0,0.1,0.6,0.0
E07000226,12.9,75.5,0.8,6.2,0.3,2.0,2.8,0.3,0.0,0.1,0.2,0.0
E07000227,11.1,85.0,0.6,1.9,0.2,0.5,0.9,0.6,0.0,0.1,0.5,0.0
E07000228,10.7,84.1,0.7,2.5,0.2,0.6,1.2,0.6,0.0,0.1,0.6,0.0
E07000229,16.1,78.8,0.6,2.6,0.2,0.5,1.3,0.4,0.0,0.1,0.3,0.0
E06000022,15.1,79.5,0.5,2.6,0.2,0.4,1.5,0.7,0.0,0.1,0.5,0.0
E06000028,15.3,74.6,0.6,5.9,0.6,0.8,2.2,0.4,0.0,0.5,0.3,0.0
E06000023,16.5,74.7,0.7,4.7,0.3,0.9,2.0,0.8,0.0,0.1,0.5,0.0
E06000052,25.2,72.7,0.3,1.2,0.1,0.1,0.3,0.3,0.0,0.0,0.3,0.0
E06000053,15.5,80.9,0.3,2.0,0.1,0.7,0.1,0.5,0.0,0.0,0.9,0.0
E06000024,16.8,80.1,0.4,1.8,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.0
E06000026,22.3,73.8,0.3,2.2,0.1,0.4,0.9,0.3,0.0,0.0,0.2,0.0
E06000029,16.4,79.2,0.4,2.5,0.2,0.3,1.1,0.3,0.0,0.1,0.2,0.0
E06000025,15.6,80.7,0.4,1.9,0.1,0.4,1.0,0.3,0.0,0.1,0.2,0.0
E06000030,18.3,73.5,0.7,4.0,0.2,0.6,2.8,0.4,0.0,0.2,0.2,0.0
E06000027,22.1,75.2,0.3,1.6,0.1,0.2,0.5,0.2,0.0,0.0,0.2,0.0
E06000054,18.6,78.0,0.4,1.7,0.1,0.4,0.6,0.5,0.0,0.0,0.5,0.0
E07000040,18.7,79.2,0.3,1.1,0.1,0.2,0.5,0.3,0.0,0.0,0.3,0.0
E07000041,17.9,74.8,0.4,3.2,0.4,0.6,2.9,0.5,0.0,0.1,0.4,0.0
E07000042,22.7,74.8,0.3,1.7,0.1,0.1,0.3,0.3,0.0,0.0,0.2,0.0
E07000043,23.8,74.0,0.3,1.2,0.1,0.2,0.5,0.3,0.0,0.0,0.2,0.0
E07000044,16.4,81.3,0.3,1.2,0.1,0.2,0.3,0.5,0.0,0.0,0.4,0.0
E07000045,20.1,77.9,0.3,1.0,0.1,0.1,0.4,0.3,0.0,0.0,0.3,0.0
E07000046,26.8,71.7,0.2,0.8,0.1,0.1,0.3,0.2,0.0,0.0,0.2,0.0
E07000047,22.4,75.6,0.4,1.1,0.1,0.1,0.3,0.4,0.0,0.0,0.3,0.0
E07000048,16.3,81.5,0.4,1.1,0.1,0.3,0.5,0.3,0.0,0.0,0.3,0.0
E07000049,14.6,83.8,0.3,0.8,0.1,0.2,0.2,0.3,0.0,0.0,0.3,0.0
E07000050,19.5,77.4,0.3,1.7,0.2,0.2,0.7,0.4,0.0,0.0,0.3,0.0
E07000051,18.6,79.3,0.3,1.1,0.1,0.2,0.3,0.3,0.0,0.0,0.3,0.0
E07000052,20.0,77.8,0.4,0.9,0.2,0.2,0.6,0.4,0.0,0.0,0.4,0.0
E07000053,22.1,75.4,0.3,1.4,0.1,0.2,0.4,0.3,0.0,0.0,0.2,0.0
E07000078,15.7,77.6,0.6,3.6,0.3,0.6,1.3,0.8,0.0,0.1,0.5,0.0
E07000079,16.9,79.7,0.5,1.7,0.1,0.4,0.5,0.7,0.0,0.1,0.6,0.0
E07000080,23.6,74.6,0.3,0.8,0.1,0.2,0.2,0.2,0.0,0.0,0.3,0.0
E07000081,20.6,73.6,0.5,3.1,0.1,0.7,1.2,0.4,0.0,0.1,0.2,0.0
E07000082,18.7,78.7,0.4,1.5,0.1,0.2,0.3,0.5,0.0,0.0,0.4,0.0
E07000083,16.9,80.0,0.4,1.8,0.1,0.3,0.4,0.5,0.0,0.0,0.3,0.0
E07000187,20.6,76.0,0.4,2.1,0.1,0.2,0.5,0.5,0.0,0.0,0.4,0.0
E07000188,22.8,74.4,0.3,2.0,0.1,0.1,0.3,0.2,0.0,0.0,0.2,0.0
E07000189,22.0,75.0,0.3,2.0,0.1,0.2,0.4,0.3,0.0,0.0,0.3,0.0
E07000190,20.7,75.5,0.3,2.3,0.2,0.3,0.8,0.3,0.0,0.0,0.3,0.0
E07000191,25.3,71.9,0.3,1.9,0.1,0.1,0.3,0.3,0.0,0.0,0.3,0.0
W06000001,28.9,69.5,0.5,0.6,0.1,0.1,0.4,0.2,0.0,0.0,0.1,0.0
W06000002,27.8,69.0,0.4,1.0,0.1,0.2,1.4,0.3,0.0,0.0,0.2,0.0
W06000003,23.9,73.9,0.5,1.1,0.1,0.2,0.4,0.2,0.0,0.0,0.2,0.0
W06000004,24.5,73.5,0.3,0.8,0.1,0.2,0.7,0.2,0.0,0.0,0.2,0.0
W06000005,20.7,76.8,0.3,1.7,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.0
W06000006,24.3,71.2,0.3,3.0,0.1,0.2,0.9,0.1,0.0,0.0,0.1,0.0
W06000023,26.4,71.4,0.3,1.2,0.1,0.1,0.6,0.3,0.0,0.0,0.3,0.0
W06000008,26.3,69.6,0.5,2.1,0.2,0.3,0.9,0.5,0.0,0.0,0.2,0.0
W06000009,27.2,70.5,0.5,1.0,0.1,0.1,0.6,0.2,0.0,0.0,0.2,0.0
W06000010,26.7,70.9,0.3,1.5,0.1,0.1,0.4,0.2,0.0,0.0,0.1,0.0
W06000011,19.2,76.4,0.4,1.5,0.2,0.5,1.8,0.2,0.0,0.0,0.2,0.0
W06000012,23.0,75.8,0.2,0.5,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.0
W06000013,20.9,77.2,0.3,1.0,0.0,0.2,0.4,0.1,0.0,0.0,0.1,0.0
W06000014,16.4,81.4,0.4,0.9,0.1,0.2,0.5,0.3,0.0,0.0,0.2,0.0
W06000015,15.1,77.4,0.6,3.0,0.2,0.8,3.1,0.4,0.0,0.1,0.2,0.0
W06000016,23.2,74.9,0.2,0.6,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.0
W06000024,24.3,72.7,0.2,2.1,0.0,0.1,0.6,0.1,0.0,0.0,0.1,0.0
W06000018,23.9,75.0,0.2,0.6,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0
W06000019,30.0,68.9,0.1,0.7,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0
W06000020,24.7,74.1,0.2,0.3,0.1,0.1,0.5,0.1,0.0,0.0,0.1,0.0
W06000021,19.0,79.0,0.3,0.9,0.1,0.2,0.4,0.3,0.0,0.0,0.3,0.0
W06000022,19.7,75.9,0.4,1.9,0.1,0.6,1.6,0.2,0.0,0.0,0.1,0.0
