id,name,remain_votes,leave_votes,leave_percentage_share,remain_percentage_share,turnout,percentage_turnout,electorate,outcome,state,majority,total_voting_areas,number_of_results
E12000001,North East,480573,681404,58.64178034504985,41.35821965495014,1161977,68.60388912636355,1693748,LEAVE,1,200831,12,11
E12000002,North West,1603565,1868843,53.819798825483645,46.18020117451636,3472408,69.75477408496789,4978022,LEAVE,1,265278,39,38
E12000003,Yorkshire and The Humber,1094681,1534954,58.371370931707254,41.62862906829275,2629635,70.71285493435833,3718751,LEAVE,1,440273,21,20
E12000004,East Midlands,798353,1122403,58.43548061284203,41.56451938715797,1920756,73.92060664931243,2598404,LEAVE,1,324050,40,32
E12000005,West Midlands,1038695,1501474,59.10921674896434,40.890783251035664,2540169,71.75565942171046,3540026,LEAVE,1,462779,30,27
E12000006,East of England,1247231,1624234,56.564645572904425,43.43535442709558,2871465,75.38859797552303,3808885,LEAVE,1,377003,47,42
E12000007,London,1955018,1306503,40.05808946194122,59.94191053805877,3261521,70.16934551989416,4648071,REMAIN,1,648515,33,29
E12000008,South East,1937512,2123281,52.28734880108392,47.71265119891607,4060793,76.74978973530273,5290950,LEAVE,1,185769,67,58
E12000009,South West,1122386,1222974,52.14440427055974,47.85559572944026,2345360,76.46363823677463,3067288,LEAVE,1,100588,38,31
W92000004,Wales,772347,854572,52.52701578873933,47.47298421126067,1626919,71.6469895536395,2270743,LEAVE,3,82225,22,22
N92000002,Northern Ireland,440707,349442,44.22482341938039,55.7751765806196,790149,62.66274371408972,1260955,REMAIN,3,91265,1,1
S92000003,Scotland,1661191,1018322,38.00399550216774,61.99600449783226,2679513,67.20796468833666,3986898,REMAIN,3,642869,32,32